点名,评论数,均价,口味,环境,服务,地址,电话,
阿叔小吃,418,19,8.7,7.4,8.6, 裕华路裕华大厦旁 ,13427960338,
蓉家小院钵钵鸡(保利店),509,41,7.9,7.8,8, 海德二道保利文化广场一楼A1-1号一楼(后海地铁站D1出口旁) ,15881188908,
小杨生煎(龙岗万科店),403,27,8.3,7.9,8, 龙城街道龙翔大道1号B1层号 ,0755-28710342,
叁番·港式小吃,63,17,7.7,7.3,7.7, 新洲二街号(吉之岛外商铺) ,13554814095,
老广州牛杂(白石洲店),237,19,8.4,7.1,7.8, 天河路11号 ,13528023827,
香港沾叔(东门店),639,18,8.6,8,8.9, 东门町美食广场二楼A-1(地铁站老街) ,13823105248,
香港风味小吃店(中英街店),427,18,7.8,7.2,7.5, 沙头角海涛路1号(顺德家具楼下) ,15017900706,
發仔记,223,28,7.9,6.6,7.5, 湖贝新村1栋号铺(找茶斜对面) ,添加,
嘉华小吃,703,27,8.3,7.2,7.5, 渔村路1号(蛇口菜市场) ,0755-26693844,
肥妈小吃店(古城店),66,17,7.4,7.1,7.5, 南门东路赖府园巷一号(大鹏所城旁) ,15814015291,
港嘢香港小食,462,36,8.2,7.7,8.2, 黄贝岭路黄贝岭上村-号 ,18122069523,
来到普宁肠粉,1211,24,8.1,7.9,8.2, 东门街道湖贝路11号金色罗湖宾馆对面(湖贝站B出口东行米) ,0755-22914272,
东门小吃街,727,49,7.7,7.2,7.4, 东门二横街东门步行街UcityB1楼(中兴酒店) ,0755-82221797,
小杨生煎(海雅缤纷城店),125,31,8.1,8,8, 新安街道新安湖社区建安一路号海雅广场B1-1 ,0755-27809434,
台湾小吃店(东门町店),11,1,.,.,., 町C-1 ,111,
成都钟姐钵钵鸡,1712,46,8.3,6.7,7.4, 南光路南光商业街1号 ,13438169219,
蜜方圆素(Cocopark店),1346,61,7.8,7.8,7.6, 福华三路号星河COCO-PARK购物中心负1楼(近GAGA鲜语) ,0755-83279275,
椿婆手工卷筒粉,270,11,7.9,7.4,8.1, 振华路1-1号 ,13502870803,
小田豆浆(西丽店),141,29,7.2,7.4,7.4, 石鼓路-号 ,13823230993,
尚好食牛肉粿条汤(学府路分店),46,20,8,7.8,7.8, 南山区学府路-11号(近桂庙天桥，公交站：桂庙新村) ,13424415574,
肥仔肠粉,75,9,8.2,7.4,7.9, 塘益路 ,13163776889,
冰村大叔·煲仔粥糖水店,1344,34,8.5,7.4,7.7, 中康路天源梅林居黄祠巷号 ,15914186836,
肥肥油炸,194,34,7.4,6.7,7.3, 福庆街号(富宝KTV，1揭阳捆粿) ,13433889770,
黄李记,98,15,7.7,6.8,7.5, 蛇口老街号- ,13828873373,
汉正街湖北传统名小吃,371,22,7.2,6.9,7.1, 常兴天虹美食城一楼(过锅瘾对面) ,18927479222,
桃园眷村(深圳万象天地店),1762,45,7.1,7.7,7.3, 深南大道号万象天地NL1 ,0755-86680056,
大东北首席烤冷面,390,16,7,6.5,7.1, 学府路-1号(苏宁电器对角) ,添加,
辣小妞·成都面馆,190,50,8.4,8.5,8.8, 嘉宾路湖心大厦栋1楼(苏荷酒吧背后，同仁四季正门旁) ,0755-82339051,
煎饼爱果子(连城店),912,13,7.3,7.2,7.3, 中心四路连城新天地C区C1号 ,18124010156,
李记潮汕美食,1,元,.,.,., 发配件A·B座 ,1,
三哥清汤牛腩冰室,219,45,8.3,7.7,7.9, 福民路众孚新村内 ,0755-82552574,
